# t	u	y	glucose	insulin	remote_insulin_effect	infusion_rate	meal_disturbance
# model_name=glucose_insulin_bergman, controlled_output=glucose_deviation, dt=0.1 sec, dt_sim=0.01 sec, input_type=random_steps, preg_blackbox_enabled=False, r_preg=-0.05, Gb=5.5, Ib=10, U0=0, U_gain=2.2, tau_pump=0.2, p1=0.025, p2=0.03, p3=0.0012, n=0.1, V_I=12, meal_amp=0.12, meal_time=45, meal_tau=14
1.8705000000e+03	4.5560087213e-02	-3.0919239208e+00	2.4080760792e+00	1.0957974168e+01	3.5063731523e-02	1.1500814490e+00	0.0000000000e+00
1.8706000000e+03	4.5560087213e-02	-3.0926367570e+00	2.4073632430e+00	1.0957978417e+01	3.5073482850e-02	1.1500814490e+00	0.0000000000e+00
1.8707000000e+03	4.5560087213e-02	-3.0933476608e+00	2.4066523392e+00	1.0957982624e+01	3.5083205473e-02	1.1500814490e+00	0.0000000000e+00
1.8708000000e+03	4.5560087213e-02	-3.0940566356e+00	2.4059433644e+00	1.0957986789e+01	3.5092899474e-02	1.1500814490e+00	0.0000000000e+00
1.8709000000e+03	4.5560087213e-02	-3.0947636845e+00	2.4052363155e+00	1.0957990912e+01	3.5102564932e-02	1.1500814490e+00	0.0000000000e+00
1.8710000000e+03	4.5560087213e-02	-3.0954688110e+00	2.4045311890e+00	1.0957994995e+01	3.5112201930e-02	1.1500814490e+00	0.0000000000e+00
1.8711000000e+03	4.5560087213e-02	-3.0961720185e+00	2.4038279815e+00	1.0957999037e+01	3.5121810546e-02	1.1500814490e+00	0.0000000000e+00
1.8712000000e+03	4.5560087213e-02	-3.0968733103e+00	2.4031266897e+00	1.0958003039e+01	3.5131390862e-02	1.1500814490e+00	0.0000000000e+00
1.8713000000e+03	4.5560087213e-02	-3.0975726897e+00	2.4024273103e+00	1.0958007000e+01	3.5140942957e-02	1.1500814490e+00	0.0000000000e+00
1.8714000000e+03	4.5560087213e-02	-3.0982701601e+00	2.4017298399e+00	1.0958010923e+01	3.5150466911e-02	1.1500814490e+00	0.0000000000e+00
1.8715000000e+03	4.5560087213e-02	-3.0989657251e+00	2.4010342749e+00	1.0958014806e+01	3.5159962804e-02	1.1500814490e+00	0.0000000000e+00
1.8716000000e+03	4.5560087213e-02	-3.0996593878e+00	2.4003406122e+00	1.0958018651e+01	3.5169430714e-02	1.1500814490e+00	0.0000000000e+00
1.8717000000e+03	4.5560087213e-02	-3.1003511518e+00	2.3996488482e+00	1.0958022457e+01	3.5178870722e-02	1.1500814490e+00	0.0000000000e+00
1.8718000000e+03	4.5560087213e-02	-3.1010410205e+00	2.3989589795e+00	1.0958026226e+01	3.5188282906e-02	1.1500814490e+00	0.0000000000e+00
1.8719000000e+03	4.5560087213e-02	-3.1017289973e+00	2.3982710027e+00	1.0958029957e+01	3.5197667345e-02	1.1500814490e+00	0.0000000000e+00
1.8720000000e+03	4.5560087213e-02	-3.1024150857e+00	2.3975849143e+00	1.0958033651e+01	3.5207024118e-02	1.1500814490e+00	0.0000000000e+00
1.8721000000e+03	4.5560087213e-02	-3.1030992890e+00	2.3969007110e+00	1.0958037308e+01	3.5216353303e-02	1.1500814490e+00	0.0000000000e+00
1.8722000000e+03	4.5560087213e-02	-3.1037816108e+00	2.3962183892e+00	1.0958040929e+01	3.5225654978e-02	1.1500814490e+00	0.0000000000e+00
1.8723000000e+03	4.5560087213e-02	-3.1044620546e+00	2.3955379454e+00	1.0958044514e+01	3.5234929222e-02	1.1500814490e+00	0.0000000000e+00
1.8724000000e+03	4.5560087213e-02	-3.1051406237e+00	2.3948593763e+00	1.0958048063e+01	3.5244176112e-02	1.1500814490e+00	0.0000000000e+00
1.8725000000e+03	4.5560087213e-02	-3.1058173217e+00	2.3941826783e+00	1.0958051577e+01	3.5253395726e-02	1.1500814490e+00	0.0000000000e+00
1.8726000000e+03	4.5560087213e-02	-3.1064921522e+00	2.3935078478e+00	1.0958055056e+01	3.5262588142e-02	1.1500814490e+00	0.0000000000e+00
1.8727000000e+03	4.5560087213e-02	-3.1071651184e+00	2.3928348816e+00	1.0958058500e+01	3.5271753437e-02	1.1500814490e+00	0.0000000000e+00
1.8728000000e+03	4.5560087213e-02	-3.1078362241e+00	2.3921637759e+00	1.0958061910e+01	3.5280891687e-02	1.1500814490e+00	0.0000000000e+00
1.8729000000e+03	4.5560087213e-02	-3.1085054727e+00	2.3914945273e+00	1.0958065286e+01	3.5290002971e-02	1.1500814490e+00	0.0000000000e+00
1.8730000000e+03	4.5560087213e-02	-3.1091728677e+00	2.3908271323e+00	1.0958068629e+01	3.5299087364e-02	1.1500814490e+00	0.0000000000e+00
1.8731000000e+03	4.5560087213e-02	-3.1098384127e+00	2.3901615873e+00	1.0958071938e+01	3.5308144943e-02	1.1500814490e+00	0.0000000000e+00
1.8732000000e+03	4.5560087213e-02	-3.1105021112e+00	2.3894978888e+00	1.0958075214e+01	3.5317175785e-02	1.1500814490e+00	0.0000000000e+00
1.8733000000e+03	4.5560087213e-02	-3.1111639667e+00	2.3888360333e+00	1.0958078458e+01	3.5326179965e-02	1.1500814490e+00	0.0000000000e+00
1.8734000000e+03	4.5560087213e-02	-3.1118239829e+00	2.3881760171e+00	1.0958081669e+01	3.5335157560e-02	1.1500814490e+00	0.0000000000e+00
1.8735000000e+03	4.5560087213e-02	-3.1124821632e+00	2.3875178368e+00	1.0958084849e+01	3.5344108645e-02	1.1500814490e+00	0.0000000000e+00
1.8736000000e+03	4.5560087213e-02	-3.1131385112e+00	2.3868614888e+00	1.0958087997e+01	3.5353033297e-02	1.1500814490e+00	0.0000000000e+00
1.8737000000e+03	4.5560087213e-02	-3.1137930306e+00	2.3862069694e+00	1.0958091113e+01	3.5361931590e-02	1.1500814490e+00	0.0000000000e+00
1.8738000000e+03	4.5560087213e-02	-3.1144457248e+00	2.3855542752e+00	1.0958094199e+01	3.5370803600e-02	1.1500814490e+00	0.0000000000e+00
1.8739000000e+03	4.5560087213e-02	-3.1150965975e+00	2.3849034025e+00	1.0958097253e+01	3.5379649401e-02	1.1500814490e+00	0.0000000000e+00
1.8740000000e+03	4.5560087213e-02	-3.1157456522e+00	2.3842543478e+00	1.0958100278e+01	3.5388469069e-02	1.1500814490e+00	0.0000000000e+00
1.8741000000e+03	4.5560087213e-02	-3.1163928927e+00	2.3836071073e+00	1.0958103272e+01	3.5397262678e-02	1.1500814490e+00	0.0000000000e+00
1.8742000000e+03	4.5560087213e-02	-3.1170383224e+00	2.3829616776e+00	1.0958106237e+01	3.5406030303e-02	1.1500814490e+00	0.0000000000e+00
1.8743000000e+03	4.5560087213e-02	-3.1176819449e+00	2.3823180551e+00	1.0958109172e+01	3.5414772018e-02	1.1500814490e+00	0.0000000000e+00
1.8744000000e+03	4.5560087213e-02	-3.1183237640e+00	2.3816762360e+00	1.0958112077e+01	3.5423487897e-02	1.1500814490e+00	0.0000000000e+00
1.8745000000e+03	4.5560087213e-02	-3.1189637832e+00	2.3810362168e+00	1.0958114954e+01	3.5432178014e-02	1.1500814490e+00	0.0000000000e+00
1.8746000000e+03	4.5560087213e-02	-3.1196020061e+00	2.3803979939e+00	1.0958117803e+01	3.5440842442e-02	1.1500814490e+00	0.0000000000e+00
1.8747000000e+03	4.5560087213e-02	-3.1202384364e+00	2.3797615636e+00	1.0958120623e+01	3.5449481256e-02	1.1500814490e+00	0.0000000000e+00
1.8748000000e+03	4.5560087213e-02	-3.1208730777e+00	2.3791269223e+00	1.0958123414e+01	3.5458094529e-02	1.1500814490e+00	0.0000000000e+00
1.8749000000e+03	4.5560087213e-02	-3.1215059337e+00	2.3784940663e+00	1.0958126179e+01	3.5466682333e-02	1.1500814490e+00	0.0000000000e+00
1.8750000000e+03	4.5560087213e-02	-3.1221370080e+00	2.3778629920e+00	1.0958128915e+01	3.5475244742e-02	1.1500814490e+00	0.0000000000e+00
1.8751000000e+03	4.5560087213e-02	-3.1227663042e+00	2.3772336958e+00	1.0958131624e+01	3.5483781828e-02	1.1500814490e+00	0.0000000000e+00
1.8752000000e+03	4.5560087213e-02	-3.1233938260e+00	2.3766061740e+00	1.0958134307e+01	3.5492293665e-02	1.1500814490e+00	0.0000000000e+00
1.8753000000e+03	4.5560087213e-02	-3.1240195771e+00	2.3759804229e+00	1.0958136963e+01	3.5500780324e-02	1.1500814490e+00	0.0000000000e+00
1.8754000000e+03	4.5560087213e-02	-3.1246435612e+00	2.3753564388e+00	1.0958139592e+01	3.5509241878e-02	1.1500814490e+00	0.0000000000e+00
1.8755000000e+03	4.5560087213e-02	-3.1252657818e+00	2.3747342182e+00	1.0958142195e+01	3.5517678399e-02	1.1500814490e+00	0.0000000000e+00
1.8756000000e+03	4.5560087213e-02	-3.1258862427e+00	2.3741137573e+00	1.0958144772e+01	3.5526089958e-02	1.1500814490e+00	0.0000000000e+00
1.8757000000e+03	4.5560087213e-02	-3.1265049476e+00	2.3734950524e+00	1.0958147324e+01	3.5534476628e-02	1.1500814490e+00	0.0000000000e+00
1.8758000000e+03	4.5560087213e-02	-3.1271219001e+00	2.3728780999e+00	1.0958149850e+01	3.5542838480e-02	1.1500814490e+00	0.0000000000e+00
1.8759000000e+03	4.5560087213e-02	-3.1277371040e+00	2.3722628960e+00	1.0958152351e+01	3.5551175585e-02	1.1500814490e+00	0.0000000000e+00
1.8760000000e+03	4.5560087213e-02	-3.1283505628e+00	2.3716494372e+00	1.0958154827e+01	3.5559488014e-02	1.1500814490e+00	0.0000000000e+00
1.8761000000e+03	4.5560087213e-02	-3.1289622803e+00	2.3710377197e+00	1.0958157279e+01	3.5567775839e-02	1.1500814490e+00	0.0000000000e+00
1.8762000000e+03	4.5560087213e-02	-3.1295722602e+00	2.3704277398e+00	1.0958159706e+01	3.5576039130e-02	1.1500814490e+00	0.0000000000e+00
1.8763000000e+03	4.5560087213e-02	-3.1301805063e+00	2.3698194937e+00	1.0958162109e+01	3.5584277957e-02	1.1500814490e+00	0.0000000000e+00
1.8764000000e+03	4.5560087213e-02	-3.1307870221e+00	2.3692129779e+00	1.0958164488e+01	3.5592492392e-02	1.1500814490e+00	0.0000000000e+00
1.8765000000e+03	4.5560087213e-02	-3.1313918114e+00	2.3686081886e+00	1.0958166843e+01	3.5600682503e-02	1.1500814490e+00	0.0000000000e+00
1.8766000000e+03	4.5560087213e-02	-3.1319948779e+00	2.3680051221e+00	1.0958169175e+01	3.5608848362e-02	1.1500814490e+00	0.0000000000e+00
1.8767000000e+03	4.5560087213e-02	-3.1325962253e+00	2.3674037747e+00	1.0958171484e+01	3.5616990039e-02	1.1500814490e+00	0.0000000000e+00
1.8768000000e+03	4.5560087213e-02	-3.1331958573e+00	2.3668041427e+00	1.0958173770e+01	3.5625107601e-02	1.1500814490e+00	0.0000000000e+00
1.8769000000e+03	4.5560087213e-02	-3.1337937777e+00	2.3662062223e+00	1.0958176033e+01	3.5633201121e-02	1.1500814490e+00	0.0000000000e+00
1.8770000000e+03	4.5560087213e-02	-3.1343899901e+00	2.3656100099e+00	1.0958178273e+01	3.5641270666e-02	1.1500814490e+00	0.0000000000e+00
1.8771000000e+03	4.5560087213e-02	-3.1349844983e+00	2.3650155017e+00	1.0958180492e+01	3.5649316305e-02	1.1500814490e+00	0.0000000000e+00
1.8772000000e+03	4.5560087213e-02	-3.1355773060e+00	2.3644226940e+00	1.0958182688e+01	3.5657338109e-02	1.1500814490e+00	0.0000000000e+00
1.8773000000e+03	4.5560087213e-02	-3.1361684169e+00	2.3638315831e+00	1.0958184862e+01	3.5665336145e-02	1.1500814490e+00	0.0000000000e+00
